,Unnamed: 0,runstring,t,t_shadow
20877,20877,0020877.bin,5.05758586955,5.05758586955
20878,20878,0020878.bin,76.2782434858,76.2782434858
20882,20882,0020882.bin,491.277933457,491.277933457
20884,20884,0020884.bin,186.402376552,186.402376552
20885,20885,0020885.bin,33.8095003125,33.8095003125
20888,20888,0020888.bin,36.9619507145,36.9619507145
20891,20891,0020891.bin,22.724502461,22.724502461
20900,20900,0020900.bin,34.2253161903,34.2253161903
20909,20909,0020909.bin,18.6021101487,18.6021101487
20917,20917,0020917.bin,97.8955022926,97.8955022926
20919,20919,0020919.bin,14.5838619651,14.5838619651
20920,20920,0020920.bin,0.692811803043,0.692811803043
20926,20926,0020926.bin,79.1860108813,79.1860108813
20941,20941,0020941.bin,127.269650873,127.269650873
20948,20948,0020948.bin,8.0711755969,8.0711755969
20949,20949,0020949.bin,144.205431009,144.205431009
20957,20957,0020957.bin,27.4356717516,27.4356717516
20959,20959,0020959.bin,6278.75211216,6278.75211216
20962,20962,0020962.bin,1.93988551362,1.93988551362
20971,20971,0020971.bin,113.691495604,113.691495604
20979,20979,0020979.bin,102.987467811,102.987467811
20984,20984,0020984.bin,107.837463552,107.837463552
20988,20988,0020988.bin,224.508406352,224.508406352
20999,20999,0020999.bin,42.7468932912,42.7468932912
21000,21000,0021000.bin,1.0392303614,1.0392303614
21006,21006,0021006.bin,432.146625572,432.146625572
21008,21008,0021008.bin,96.5098114155,96.5098114155
21039,21039,0021039.bin,34.0866014249,34.0866014249
21042,21042,0021042.bin,15.519144858,15.519144858
21060,21060,0021060.bin,10.253734944,10.253734944
21068,21068,0021068.bin,49.1204874793,49.1204874793
21071,21071,0021071.bin,6.89351296045,6.89351296045
21075,21075,0021075.bin,28.8906034279,28.8906034279
21096,21096,0021096.bin,215.466915446,215.466915446
21098,21098,0021098.bin,32.3892916145,32.3892916145
21107,21107,0021107.bin,64.0511829361,64.0511829361
21109,21109,0021109.bin,50.1589408026,50.1589408026
21110,21110,0021110.bin,11.8470959857,11.8470959857
21117,21117,0021117.bin,291.9138861,291.9138861
21123,21123,0021123.bin,48.9822984261,48.9822984261
21135,21135,0021135.bin,60.9334459214,60.9334459214
21147,21147,0021147.bin,0.866022881678,0.866022881678
21153,21153,0021153.bin,33.3592835998,33.3592835998
21154,21154,0021154.bin,27.8163088722,27.8163088722
21156,21156,0021156.bin,12.5051966192,12.5051966192
21161,21161,0021161.bin,21.2347065144,21.2347065144
21163,21163,0021163.bin,45.7954200496,45.7954200496
21169,21169,0021169.bin,65.9218385951,65.9218385951
21181,21181,0021181.bin,1359.55586895,1359.55586895
21182,21182,0021182.bin,58.8897243168,58.8897243168
21185,21185,0021185.bin,43.2665918912,43.2665918912
21189,21189,0021189.bin,144.241092651,144.241092651
21190,21190,0021190.bin,114.384129058,114.384129058
21193,21193,0021193.bin,37.6893965914,37.6893965914
21195,21195,0021195.bin,384.617923514,384.617923514
21196,21196,0021196.bin,104.372184275,104.372184275
21200,21200,0021200.bin,6005.76877956,6005.76877956
21216,21216,0021216.bin,15.3457485758,15.3457485758
21217,21217,0021217.bin,25.9803274372,25.9803274372
21228,21228,0021228.bin,160.041333421,160.041333421
21233,21233,0021233.bin,19.8146467835,19.8146467835
21236,21236,0021236.bin,39.7324324295,39.7324324295
21237,21237,0021237.bin,106.174612853,106.174612853
21241,21241,0021241.bin,85.771088148,85.771088148
21246,21246,0021246.bin,241.100212559,241.100212559
21253,21253,0021253.bin,179.16331636,179.16331636
21282,21282,0021282.bin,102.710202549,102.710202549
21287,21287,0021287.bin,9.56091899622,9.56091899622
21289,21289,0021289.bin,170.918697582,170.918697582
21291,21291,0021291.bin,1.48955576909,1.48955576909
21302,21302,0021302.bin,113.033541385,113.033541385
21305,21305,0021305.bin,149.299387996,149.299387996
21307,21307,0021307.bin,5.9580395073,5.9580395073
21312,21312,0021312.bin,74.2356843443,74.2356843443
21313,21313,0021313.bin,35.5070286552,35.5070286552
21318,21318,0021318.bin,9.87268847186,9.87268847186
21346,21346,0021346.bin,15.8655185,15.8655185
21352,21352,0021352.bin,104.338734465,104.338734465
21354,21354,0021354.bin,17.7011436284,17.7011436284
21356,21356,0021356.bin,144.799435745,144.799435745
21357,21357,0021357.bin,12.020431962,12.020431962
21365,21365,0021365.bin,23.2093520329,23.2093520329
21369,21369,0021369.bin,131.495261261,131.495261261
21374,21374,0021374.bin,97.2372739216,97.2372739216
21377,21377,0021377.bin,32.874114981,32.874114981
21385,21385,0021385.bin,124.082410302,124.082410302
21393,21393,0021393.bin,14.6872830402,14.6872830402
21395,21395,0021395.bin,24.3526183023,24.3526183023
21396,21396,0021396.bin,85.0771243268,85.0771243268
21397,21397,0021397.bin,2.63270222369,2.63270222369
21398,21398,0021398.bin,163.573128554,163.573128554
21405,21405,0021405.bin,31.419367854,31.419367854
21412,21412,0021412.bin,22.0663092641,22.0663092641
21431,21431,0021431.bin,0.588896404637,0.588896404637
21436,21436,0021436.bin,17.0433683487,17.0433683487
21443,21443,0021443.bin,7.37849919266,7.37849919266
21448,21448,0021448.bin,68.0691502274,68.0691502274
21459,21459,0021459.bin,5.36935312166,5.36935312166
21462,21462,0021462.bin,114.59217152,114.59217152
21464,21464,0021464.bin,120.134571418,120.134571418
21465,21465,0021465.bin,467.259751728,467.259751728
