,ID,Mean,Mean_Error,Sigma,Error
90,1768.0,5.0199588225,0.000555202096074,0.365662532555,0.000555202322815
91,1775.0,5.28674061559,0.00625708378495,0.57621146802,0.00629034544449
92,1785.0,4.96758334593,0.00852917488126,0.669963922606,0.00861904549227
93,1791.0,5.17580171774,0.0019602102511,0.540877718909,0.00196025508576
94,1796.0,6.359786754,0.00553949874338,0.581141874141,0.00555573058772
95,1799.0,4.96148180914,0.00284529307885,0.384611495768,0.00284772466223
96,1805.0,5.73508658651,0.00741051627473,0.500540348094,0.00755325874511
97,1806.0,7.93518584189,0.00441008496636,0.792278365197,0.00441096855933
98,1810.0,8.13102945999,0.00143692285033,-0.906857609404,0.00143692284355
99,1815.0,7.58150818425,0.00237873305414,0.574702344227,0.00237883831688
100,1819.0,4.44911612421,0.00306702014806,-0.157287939056,0.00322356643371
101,1821.0,7.55032918807,0.00277103885914,0.709538775672,0.0027711305767
102,1823.0,7.16361638827,0.00121813156594,0.580822226099,0.00121813376383
103,1827.0,6.46598786237,0.00325055547215,0.4946431373,0.00325208122924
104,1829.0,5.16854854542,0.00268672803029,0.0649874604472,0.00286804514527
105,1831.0,6.70659525192,0.00597969413193,0.69987032551,0.00599009586539
106,1832.0,6.54984623905,0.0186869895129,1.45560408784,0.0188908169496
107,1837.0,4.45666055532,0.00787669343931,-0.322191595703,0.00862683453761
108,1838.0,6.0371033517,0.0131499948996,1.09760853064,0.0132573088331
109,1843.0,6.08528227839,0.00723523071023,0.741451296896,0.00725888120798
110,1848.0,1.96762772873,0.620237397834,1.65912910545,0.266604501245
111,1850.0,7.55194506101,0.00881865851094,1.0267108926,0.00883439483689
112,1852.0,8.92121694178,0.00279666715418,0.855524853765,0.00279666714815
113,18539.0,8.17960234197,0.00233571561889,0.745573704747,0.00233574206064
114,18651.0,9.27041168105,0.00448714135729,0.705526214132,0.00448714140286
115,1875.0,6.04301795541,0.0125885100644,0.916598462929,0.0127691481881
116,1877.0,6.99693846311,0.00800806540663,0.980092812894,0.00801926903448
117,1879.0,6.02124210893,0.00570749002778,0.469100335196,0.00575722719682
118,1880.0,4.49039244037,0.0525996854832,0.425899811919,0.0349130667688
119,1886.0,inf,inf,inf,inf
120,1899.0,7.3301229639,0.00423279449546,0.582331133343,0.00423610571102
121,1900.0,8.16706890255,0.00124856339618,0.622697262328,0.00124856340647
122,1911.0,6.09363160553,0.00246934383643,0.568078991755,0.00246948363697
